Category,Ref Code,Bar Code,Name,Sell Price,Cost,Buy Price
Dairy,71077000154,71077000154, Milk Pint,1.29,0,0
Drinks,51000138010,51000138010,Hot & Spicy  V8,1.59,0,0
Drinks,2500005807,2500005807, Lemonade,0.69,0,0
Drinks,1200000354,1200000354,Sierra Mist,1.59,0,0
Drinks,78616201032,78616201032,Dragonfruit,1.99,0,0
Drinks,71084781450,71084781450,Tea,0.99,0,0
Drinks,7.86E+11,7.86E+11,Berry,1.49,0,0
Drinks,78616200249,78616200249,Peach,1.49,0,0
Drinks,78616204000,78616204000,Orange,1.39,0,0
Drinks,78616207000,78616207000,Kiwi,1.49,0,0
Drinks,1200000013,1200000013,Pepsi,0.89,0,0
Drinks,5200032482,5200032482,Fierce Grape,1.39,0,0
Drinks,4900002820,4900002820,Fanta Pineapple,1.09,0,0
Drinks,73800001139,73800001139,Fruit Punch,0.79,0,0
Drinks,7379800109,7379800109,B.B Blue,0.79,0,0
Drinks,7379800103,7379800103,B.B Fruit Punch,0.79,0,0
Drinks,73798001014,73798001014,B.B Orange,0.79,0,0
Drinks,4850000175,4850000175,Ruby Grapefruit,0.99,0,0
Grocery,7229000020,7229000020,Sausage,4.19,0,0
Drinks,1200000224,1200000224,Code Red,1.59,0,0
Dairy,7077000013,7077000013,Milk Quart,2.19,0,0
Drinks,4900002620,4900002620,Fanta Strawberry,1.09,0,0
Drinks,7380000298,7380000298,Root Beer,0.79,0,0
Drinks,5200033877,5200033877,32 L.L  Gatorade,1.99,0,0
Drinks,4850000174,4850000174,10 oz Orange Juice,1.09,0,0
Drinks,5200020890,5200020890,Berry Rain,1.39,0,0
Drinks,2500005606,2500005606,Cranberry,1.89,0,0
Drinks,7380000081,7380000081,Fruit Punch,0.59,0,0
Drinks,4900002627,4900002627,Fanta Grape,1.09,0,0
Drinks,7756700285,7756700285,Spongebob,1.69,0,0
Drinks,7380000092,7380000092,Peach,0.59,0,0
Drinks,5200032867,5200032867,Orange,1.39,0,0
Drinks,8390000091,8390000091,Green Tea,1.49,0,0
Drinks,4171032348,4171032348,Peach,0.69,0,0
Drinks,2500005880,2500005880,Pink  Lemonade,0.69,0,0
Drinks,4171000002,4171000002,Crush Strawberry,0.69,0,0
Non Food Item,3980004558,3980004558,AA Energizer Max,3.89,0,0
Drinks,5200033875,5200033875,32 Fruit Punch Gatorade,1.99,0,0
Drinks,4900000132,4900000132,Sprite,0.69,0,0
Drinks,4900001801,4900001801,Cherry Coke,1.59,0,0
Drinks,5200033876,5200033876,32 Orange Gatorade,1.99,0,0
Dairy,7077000032,7077000032, Half Gallon,4.09,0,0
Drinks,5200024120,5200024120,24 L.L Gatorade,1.59,0,0
Drinks,7077000518,7077000518,J.J.  Orange,1.29,0,0
Drinks,7546002069,7546002069,20 oz Water,0.69,0,0
Drinks,4900003278,4900003278,Powerade Orange,0.99,0,0
Drinks,5200032481,5200032481,Cool Blue,1.39,0,0
Drinks,7380000077,7380000077,Grape,0.59,0,0
Drinks,869740224,869740224,Baby Oil,4.69,0,0
Dairy,7077000012,7077000012, Half Gallon,4.09,0,0
Grocery,2050172015,2050172015,King Beef Steak,0.99,0,0
Drinks,7084781401,7084781401,Monster,2.79,0,0
Drinks,4900004574,4900004574,Powerade Red,1.49,0,0
Drinks,4900001916,4900001916,Fanta Orange,1.09,0,0
Dairy,1.20E+11,1.20E+11,Butter,0.59,0,0
Drinks,4900000522,4900000522,Coke,1.99,0,0
Drinks,4171000000,4171000000,Crush Orange,0.69,0,0
Drinks,5100013797,5100013797,Tomato Juice,1.69,0,0
Drinks,2500005603,2500005603,M.M. Orange Juice,1.89,0,0
Drinks,4900000764,4900000764,Sprite,1.59,0,0
Drinks,4900004526,4900004526,Powerade Grape,0.99,0,0
Drinks,7235000008,7235000008,YooHoo,0.89,0,0
Drinks,3305000398,3305000398,Loko Grape,2.29,0,0
Drinks,1312000258,1312000258,Ore Ida,4.49,0,0
Drinks,4100000991,4100000991,Glass Sweet Tea,1.69,0,0
Drinks,738/0000080,738/0000080,Rt. Beer,0.59,0,0
Non Food Item,3660081401,3660081401,Chapstick Strawberry,1.99,0,0
Drinks,4900000977,4900000977,Water,1.09,0,0
Drinks,7077000464,7077000464,J.J.  Lemon,0.95,0,0
Drinks,4900004256,4900004256,Zero,0.69,0,0
Drinks,1200000085,1200000085,Mnt. Dew,0.89,0,0
Drinks,4900000634,4900000634,Coke,0.69,0,0
Drinks,4900004086,4900004086,Zero,1.59,0,0
Drinks,1200000183,1200000183,Sierra Mist,0.69,0,0
Drinks,4171000001,4171000001,Crush Grape,0.69,0,0
Drinks,4143100177,4143100177,DBL,4.09,0,0
Drinks,2500005304,2500005304,Orangade,1.29,0,0
Drinks,2800024630,2800024630,Nestle Chocolate,2.09,0,0
Drinks,4100000990,4100000990,Glass Lemon Tea,1.69,0,0
Drinks,1200000230,1200000230,Pepsi,2.49,0,0
Drinks,2840009755,2840009755,Cheetos Crunchy,1.29,0,0
Drinks,4900004575,4900004575,Powerade Blue,1.49,0,0
Drinks,1200001275,1200001275,Green Tea,1.69,0,0
Drinks,7077001500,7077001500,Orange Gallon,1.99,0,0
Drinks,8390000385,8390000385,Tea,0.89,0,0
Drinks,8390000510,8390000510,Nestea,1.49,0,0
Drinks,4900003719,4900003719,Dt Sprite,1.59,0,0
Drinks,2100060464,2100060464,Kraft Slices,5.19,0,0
Drinks,9492281464,9492281464,Drank,2.3,0,0
Dairy,7077000133,7077000133,Chocolate Milk Quart,2.49,0,0
Drinks,7800008245,7800008245,Dr. Pepper,1.99,0,0
Dairy,7077000910,7077000910, Gallon Milk,7.45,0,0
Drinks,4369503200,4369503200,Hot Pockets,1.29,0,0
Drinks,7874209124,7874209124,GV Fruit Spins,3.89,0,0
Drinks,5200024121,5200024121,24 Fruit Punch Gatorade,1.59,0,0
Drinks,4900000524,4900000524,Dt. Coke,1.99,0,0
Drinks,8390000596,8390000596,Lemon Tea,1.49,0,0
Drinks,4900002656,4900002656,1 Liter Dasani Water,1.49,0,0
Drinks,1200001880,1200001880,Dt Pepsi,1.59,0,0
Drinks,7380000076,7380000076,Orange,0.59,0,0
Dairy,2800024570,2800024570,Nestle Strawberry,2.09,0,0
Drinks,1200000050,1200000050,Dt. Pepsi Can,0.89,0,0
Drinks,4900000790,4900000790,Powerade Blue,0.99,0,0
Drinks,7380000078,7380000078,Red,0.59,0,0
Drinks,8079380841,8079380841,Fuze Strawberry Lemonade,1.19,0,0
Grocery,7874208919,7874208919,Pie Shells,2.89,0,0
Drinks,2500005605,2500005605,Ruby Red Grapefruit,1.89,0,0
Drinks,7800008240,7800008240,Dr. Pepper,1.59,0,0
Grocery,2862112398,2862112398,Eggs,4.69,0,0
Drinks,1200004301,1200004301,Kick Limeade,2.09,0,0
Drinks,4900002319,4900002319,Sprite,1.99,0,0
Drinks,4100000211,4100000211,Glass X-Sweet Tea,1.69,0,0
Drinks,4900005011,4900005011,Dt. Coke,2.59,0,0
Drinks,7077000154,7077000154,Chocolate Milk,1.29,0,0
Drinks,4180035400,4180035400,Welchs Grape,1.19,0,0
Grocery,4143100291,4143100291,Homestyle,3.99,0,0
Grocery,4369503700,4369503700,Hot Pockets,1.29,0,0
Drinks,1.19,1.19,M.M. Pink Lemonade,1.09,0,0
Drinks,7084781460,7084781460,Peace Tea Texas Style,0.99,0,0
Non Food Item,2610000573,2610000573,Newport 100 Box,5.99,0,0
Drinks,7546033866,7546033866,1 Liter Water,1.19,0,0
Drinks,4900000044,4900000044,Coke,1.59,0,0
Dairy,7077000014,7077000014, Milk Pint,1.29,0,0
Drinks,7380000295,7380000295,Orange,0.79,0,0
